u_id,b_id,a_id,name,average_rating,ratings_count,text_reviews_count
6862396,7938275,153394,Suzanne Collins,4.28,7883871,340484
5998302,9416,6160,Sophie Kinsella,3.72,1829607,68863
7032615,15797722,9355,Dean Koontz,3.88,1780470,65617
7153332,113348,626222,Anita Diamant,4.08,477265,24584
5790743,2749408,138570,Brian Hayes,4.10,448,77
5790743,3636,2493,Lois Lowry,4.07,1857040,85087
5790743,3,1077326,J.K. Rowling,4.41,14676675,306779
5790743,4137,2849,David Sedaris,3.97,1291165,51460
6704010,969392,113935,Jane Mendelsohn,3.40,2573,395
6078682,99950,5810891,Mahatma Gandhi,4.06,32196,1562
6078682,112809,5810891,Mahatma Gandhi,4.06,32196,1562
5859214,6089675,819040,Juan M. Flavier,4.33,180,6
6351044,7111497,203139,Madame de Morville,4.00,1,0
7032021,926060,472512,Jane Dwight,4.22,69,4
5903231,365990,4178,Cormac McCarthy,3.99,812643,58156
5903231,448894,1938,Friedrich Nietzsche,4.04,204332,5815
5697711,42607,947,William Shakespeare,3.85,4456438,65468
6906630,1812457,806593,Wm. Paul Young,3.70,374332,26764
6906630,687191,4469009,Lois P. Frankel,3.70,6263,530
7486087,21787,12521,William Goldman,4.23,598418,14419
6852985,761271,8898,Bob Dylan,3.97,40764,1749
6852985,185010,78031,John Patrick Shanley,4.09,14105,397
6279453,332613,7285,Ken Kesey,4.17,476679,7696
6279453,5470,3706,George Orwell,3.98,3637853,71577
6279453,2429135,706255,Stieg Larsson,4.13,2695383,122079
6402613,13440,3389,Stephen King,3.98,8628603,274207
5639412,397466,1353301,V.C. Andrews,3.82,543000,15410
5639412,787660,1353301,V.C. Andrews,3.82,543000,15410
5639412,15622,9657,Richard Wright,3.96,105716,4406
5639412,11337,3534,Toni Morrison,3.83,511408,23048
5639412,6149,3534,Toni Morrison,3.83,511408,23048
5639412,2429135,706255,Stieg Larsson,4.13,2695383,122079
6977383,2657,1825,Harper Lee,4.21,2880520,80339
5695135,4249858,186539,Andris Freivalds,4.25,53,0
6235481,511342,284466,Donna Morrissey,3.86,3528,297
6154410,3841209,885891,Arindama Singh,4.25,4,2
7308025,11869272,4992939,Katherine Boo,3.98,61737,8225
7308025,12781718,711044,Jossey-Bass,4.02,2097,99
7308025,9418327,4385839,Tina Fey,3.94,484268,31746
6467578,162085,93970,Sara Shepard,4.02,649443,34082
6373341,6514,4379,Sylvia Plath,4.01,481133,15121
6721264,6487308,2905297,Lauren Kate,3.83,779448,38729
6575808,22285,2546,Chuck Palahniuk,3.83,1069777,44863
6167481,7026431,3131353,Paul Hillmer,3.62,21,3
6167481,6778111,3046464,Mac McClelland,3.93,515,108
6157477,7613,3706,George Orwell,3.98,3637861,71577
7444079,139220,2606,Bill Buford,3.92,28048,2778
6199628,21853621,54493,Kristin Hannah,4.13,621804,62148
6199628,22557272,1063732,Paula Hawkins,3.84,551800,58191
7123196,25372801,4918514,Charlie Jane Anders,3.76,8717,1616
6178305,359434,183216,Kenneth Kamler,4.13,901,104
5757027,22143098,3329355,Ali McNamara,3.73,15545,1584
6377143,1758153,43395,Bill Johnson,4.42,9557,662
5669057,199068,294,Dori Hillestad Butler,3.92,3730,668
6194202,580541,89393,Greg Pak,3.83,32143,2397
6194202,2,1077326,J.K. Rowling,4.41,14676718,306781
6194202,1,1077326,J.K. Rowling,4.41,14676718,306781
5746992,6094134,2856822,Osho,4.20,37305,2350
7154520,46799,69007,Beatrice Sparks,3.76,198449,9139
5791444,7613,3706,George Orwell,3.98,3637864,71577
5791444,865,566,Paulo Coelho,3.71,1787607,82149
7263028,18710190,4039811,Veronica Roth,4.13,3496048,226560
5757876,8463965,2637107,Rhondalynn Korolak,4.22,32,4
6969159,10412,6842,Greg Behrendt,3.69,58698,3696
5711544,22034,12605,Mario Puzo,4.23,293177,6838
5711544,41865,941441,Stephenie Meyer,3.64,7836780,277381
5711544,113436,8349,Christopher Paolini,3.90,1587255,40486
5711544,34,656983,J.R.R. Tolkien,4.29,5368664,79843
6589323,1068817,471509,Kerry Riley,4.00,16,2
6309293,46799,69007,Beatrice Sparks,3.76,198449,9139
6599176,10886468,7054597,Bianca B. Bernardino,4.31,6631,539
6599176,627055,55084,Maira Kalman,3.69,60060,8480
6573651,710187,27498,Erin Hunter,4.32,540510,19193
6267833,656,128382,Leo Tolstoy,4.02,691085,30627
7410252,12388837,81034,Helen Schulman,3.18,8195,1405
7410252,5046846,2093047,Nonna Bannister,3.84,5858,649
7410252,15793231,5445024,Emily Murdoch,4.06,11759,2188
6218072,6892870,706255,Stieg Larsson,4.13,2695393,122079
6218072,5060378,706255,Stieg Larsson,4.13,2695393,122079
6218072,3407877,615274,Kate Morton,4.04,357050,40100
7145949,41865,941441,Stephenie Meyer,3.64,7836789,277381
6048943,111332,27498,Erin Hunter,4.32,540510,19193
7158560,325115,83376,Red Pine,4.35,4081,212
5861394,327847,42697,Irma S. Rombauer,4.13,85356,990
5861394,3888,6867702,America's Test Kitchen,4.29,21395,871
5861394,603422,42861,Mollie Katzen,3.94,40837,734
7280941,226366,132486,Ray Manzarek,3.92,1685,110
6196359,7624,306,William Golding,3.62,1449247,23311
7322529,2372167,6613788,Thomas Barrett,4.08,225,24
6873118,4670760,195905,Alex Berenson,4.00,44678,2722
6248344,2956,1244,Mark Twain,3.83,1743521,30384
6248344,4078927,374590,Chris Cleave,3.67,200671,22179
6438008,3228917,1439,Malcolm Gladwell,3.92,1162990,48276
6261805,3200864,3622,Paula Danziger,3.83,31226,1739
6748249,7327341,3234254,Dave Mustaine,3.88,4297,295
7315628,11573,3389,Stephen King,3.98,8628647,274209
7426418,11157085,3414480,Matthew Syed,4.02,3245,358
6508628,836984,54493,Kristin Hannah,4.13,621810,62149
6508628,297135,54493,Kristin Hannah,4.13,621810,62149
6508628,1472878,54493,Kristin Hannah,4.13,621810,62149
6508628,8554005,7128,Jodi Picoult,3.92,2470222,145029
6508628,10908,7128,Jodi Picoult,3.92,2470222,145029
6787699,222576,7308,Susan Cooper,4.04,168878,6445
6023505,8434971,125529,Gilbert Parker,3.40,93,20
6023505,2644931,85587,Mary Roberts Rinehart,3.63,9163,1190
6023505,2944553,472955,Marie Jakober,3.63,238,44
6023505,19691,3892,Tom Clancy,3.96,964669,14386
6520280,827412,27847,Lisa Kleypas,4.03,565739,31535
6520280,861326,63898,Julia Quinn,3.98,455755,22479
6520280,693016,27847,Lisa Kleypas,4.03,565739,31535
7036235,3858,2622,Sarah Macdonald,3.51,12502,992
6063514,3,1077326,J.K. Rowling,4.41,14676772,306784
6612463,7864437,348878,James Dashner,3.94,1252758,96669
6612463,7631105,348878,James Dashner,3.94,1252758,96669
6612463,307791,2347,Jeanne DuPrau,3.76,260997,14869
6612463,18710190,4039811,Veronica Roth,4.13,3496070,226562
7027166,8612987,2982045,Sarah Pekkanen,3.65,29777,3093
7027166,2029834,5098,Laurie Notaro,3.86,64128,5198
7027166,5886881,2383,Gillian Flynn,3.96,1866256,167366
7347270,41865,941441,Stephenie Meyer,3.64,7836799,277381
7347270,18667798,15274,Rachel DeWoskin,3.43,4492,769
6844781,22285,2546,Chuck Palahniuk,3.83,1069786,44863
6844781,9516,6238,Marjane Satrapi,4.21,260186,13178
6844781,32552,4624490,Edgar Allan Poe,4.18,889995,16574
6844781,297249,10665,Gertrude Chandler Warner,3.96,181567,4336
7445873,139253,13234,Sandra Cisneros,3.64,94808,6913
7388123,6186357,348878,James Dashner,3.94,1252758,96669
5740628,4928441,3240518,P.C. Chatterji,4.00,3,0
5740628,7677,5194,Michael Crichton,3.76,1722409,37153
6743784,326714,16904,Richard Bach,3.87,203045,7211
6743784,29951,16904,Richard Bach,3.87,203045,7211
7099157,349254,10,Jude Fisher,4.46,29879,270
7061677,1086329,123715,Agatha Christie,3.95,1931312,77352
6881794,53611,24811,Elizabeth Pantley,3.56,8677,1142
7059583,175516,4624490,Edgar Allan Poe,4.18,889995,16574
7059583,206173,4624490,Edgar Allan Poe,4.18,889995,16574
7059583,206172,4624490,Edgar Allan Poe,4.18,889995,16574
6147673,11735983,4039811,Veronica Roth,4.13,3496074,226562
6147673,13335037,4039811,Veronica Roth,4.13,3496074,226562
6147673,15835877,4487674,Moira Young,3.94,67625,7911
6147673,13042154,4487674,Moira Young,3.94,67625,7911
6147673,9917938,4487674,Moira Young,3.94,67625,7911
6147673,17853139,63533,Cathy Cassidy,3.95,41297,2316
6147673,6460331,11654,Meg Cabot,3.80,1506775,60560
6147673,7848083,11654,Meg Cabot,3.80,1506775,60560
6147673,7194943,11654,Meg Cabot,3.80,1506775,60560
6147673,511527,22602,Jacqueline Wilson,3.64,201865,7296
6147673,7969040,63533,Cathy Cassidy,3.95,41297,2316
6147673,6729036,63533,Cathy Cassidy,3.95,41297,2316
6147673,13246148,63533,Cathy Cassidy,3.95,41297,2316
6253666,77366,5339,Robin McKinley,3.96,266620,18954
6253666,407813,5339,Robin McKinley,3.96,266620,18954
6253666,176867,4766,Andre Norton,3.85,113053,3686
5671283,4137,2849,David Sedaris,3.97,1291167,51460
7214023,6428536,463,Philip Roth,3.79,250637,16987
7214023,15798334,6459199,Ari Shavit,4.21,4055,642
6613230,2022395,126726,National Research Council,3.73,1177,109
6293102,6969174,3780,James Patterson,3.96,3843754,173371
6193992,191113,33274,Mo Willems,4.29,318840,20412
7217101,474889,235731,Maxwell Luria,3.95,60,3
7217101,22929491,477454,Aleksandr Kushner,4.33,15,3
7105795,732767,388987,John Torreano,3.80,15,2
6083552,147746,68467,Harvey MacKay,3.91,9469,431
5938037,1014032,235136,Greg Watkins,3.75,4,1
7294709,426825,19708,Leon Uris,4.20,158079,3817
6115769,24717218,172445,Josephine Cox,3.74,7565,727
6541275,1470232,54493,Kristin Hannah,4.13,621813,62150
6711087,341879,196092,Patti Smith,4.09,106923,9040
5954632,7756093,46273,Candace Fleming,3.97,20506,3989
