u_id,b_id,a_id,name,average_rating,ratings_count,text_reviews_count
1772888,65840,5350,L.M. Montgomery,4.18,1093374,27762
1772888,3685,2530,Anna Sewell,3.93,178626,2971
1772888,77391,5350,L.M. Montgomery,4.18,1093374,27762
1772888,77395,5350,L.M. Montgomery,4.18,1093374,27762
1772888,90192,7799,Nathaniel Hawthorne,3.40,570872,14240
1772888,968,630,Dan Brown,3.75,4543161,126848
1772888,11016,1036615,Charlotte Brontë,4.06,1227154,31177
1772888,391729,4624490,Edgar Allan Poe,4.18,890781,16595
1772888,91253,403,Beverly Cleary,3.97,612154,12585
1772888,23772,61105,Dr. Seuss,4.23,2228579,36307
1772888,32929,18479,Margaret Wise Brown,4.22,308482,6805
1772888,310259,6039100,Robert Munsch,4.27,210415,7046
1772888,191139,61105,Dr. Seuss,4.23,2228579,36307
1772888,40290,589,Orson Scott Card,4.05,1872826,83006
1772888,125507,27318,Jon Scieszka,4.18,256444,11032
1772888,233093,61105,Dr. Seuss,4.23,2228579,36307
1772888,144974,83846,Margery Williams,4.28,168813,2339
1772888,3980,2713,E.L. Konigsburg,4.02,182986,8296
1772888,46677,3080,Judith Viorst,4.20,151994,4027
1772888,77767,5300,Laura Ingalls Wilder,4.17,815307,16162
1772888,767680,87184,Laura Joffe Numeroff,4.20,352363,6341
1772888,197084,13898,P.D. Eastman,4.14,255105,3584
1772888,76401,43443,Dee Brown,4.18,40916,2086
1772888,121749,1069006,C.S. Lewis,4.11,3733909,79146
1772888,65605,1069006,C.S. Lewis,4.11,3733909,79146
1772888,140225,1069006,C.S. Lewis,4.11,3733909,79146
1772888,84119,1069006,C.S. Lewis,4.11,3733909,79146
1772888,84369,1069006,C.S. Lewis,4.11,3733909,79146
1772888,65641,1069006,C.S. Lewis,4.11,3733909,79146
1772888,33514,6437238,William Strunk Jr.,4.18,51108,2491
1772888,125404,72237,Lynne Reid Banks,3.86,107737,2914
1772888,84981,1954,Natalie Babbitt,3.84,169967,6958
1772888,1056772,163577,Deborah Howe,3.83,47617,1565
1772888,56728,2737,Max Lucado,4.34,184894,8191
1772888,420297,967839,H.A. Rey,4.17,270308,3282
1772888,537296,12447,Arnold Lobel,4.21,179017,3552
1772888,824204,43186,Watty Piper,4.14,78501,917
1772888,239810,140320,Barbara Robinson,4.15,32723,2256
1772888,161361,46097,Richard Paul Evans,4.12,211420,23417
1772888,3636,2493,Lois Lowry,4.07,1858299,85155
1772888,68427,38550,Brandon Sanderson,4.36,1415130,94896
1772888,9717,6343,Milan Kundera,4.00,353847,16186
1772888,10543,6925,Don Gifford,4.18,2515,115
