book_isbn,avg_rating,five_rating,four_rating,three_rating,two_rating,one_rating
0307886263,4.3,59,24,11,4,2
074324754X,4.6,75,16,5,2,2
1400052173,4.6,71,19,6,2,2
0553296981,4.6,74,16,5,2,3
0142501557,4.4,64,21,9,5,1
0671027344,4.5,70,18,6,3,3
0312321198,4.1,54,22,10,6,8
0140389660,4.3,60,24,8,3,5
1416934006,4.1,55,21,11,6,7
014038572X,4.6,75,18,4,1,2
1416953884,4.8,87,8,3,1,1
0440975344,4.2,52,30,8,6,4
0142410977,4.5,66,24,7,2,1
0316068047,4.4,66,20,7,3,4
037584614X,4.1,50,28,11,7,4
0375844414,4.0,45,26,13,13,3
0440978505,4.4,64,21,8,4,3
014241493X,4.1,52,24,14,6,4
014241543X,4.2,55,24,12,5,4
0142420891,4.5,67,21,8,3,1
0525426582,4.4,58,27,10,3,2
0312348649,4.0,46,25,15,9,5
0743418174,4.0,51,23,10,8,8
1476751803,4.6,71,21,5,2,1
1250077001,4.5,78,8,4,5,5
0062268341,4.1,56,19,12,7,6
0374529531,4.2,57,23,7,5,8
162336518X,4.2,62,14,9,6,9
1101946342,4.2,63,15,10,5,7
1101983795,4.3,62,15,13,8,2
0192835084,4.5,69,23,0,0,8
1844080382,4.4,65,20,8,3,4
0192833596,4.1,59,20,7,5,9
0142437239,4.4,66,18,7,3,6
0375814256,4.6,79,14,2,2,3
0141318309,4.5,67,20,9,2,2
0590032496,4.5,73,18,2,2,5
0142403881,4.7,78,16,3,1,2
0141301066,4.7,80,13,4,1,2
0385074077,4.6,76,13,4,3,4
0142437263,4.0,50,22,13,6,9
0743477103,4.3,66,17,7,4,6
0143039954,4.4,70,15,6,3,6
0743477111,4.2,64,22,0,0,14
0140449264,4.6,78,11,5,2,4
0452284244,4.4,66,22,7,2,3
0439554934,4.8,86,9,3,1,1
0060256656,4.5,81,6,3,2,8
0440995779,4.4,68,18,6,3,5
0870708937,4.0,50,0,50,0,0
0553213105,4.5,72,14,6,3,5
0553213105,4.5,72,14,6,3,5
014028009X,4.1,53,23,11,7,6
0307275558,3.0,20,22,19,18,21
0440241413,4.2,56,23,8,6,7
0141439661,4.3,62,20,10,3,5
0142437204,4.4,68,17,7,3,5
0965818675,4.0,56,17,10,8,9
0316015849,4.1,65,11,7,5,12
0679879242,4.5,72,15,6,3,4
0618260307,4.7,81,13,3,1,2
0618346252,4.6,81,9,4,3,3
0450040186,4.7,78,15,4,2,1
0307277674,3.8,49,17,11,9,14
0316166685,3.9,47,24,12,9,8
0739326228,4.4,68,18,7,4,3
0140283331,4.0,50,24,12,6,8
0451529308,4.4,69,16,7,3,5
0452284244,4.4,66,22,7,2,3
0316769177,4.0,56,16,10,8,10
0061120081,4.7,82,11,3,2,2
0399155341,4.7,81,12,3,2,2
0316098337,4.3,57,24,10,5,4
0446534943,4.1,62,15,2,8,13
0446581143,4.1,55,20,11,7,7
0525951652,4.3,60,22,8,3,7
7508621158,0.0,0,0,0,0,0
0061007226,4.6,75,16,5,2,2
0743455967,4.7,77,17,3,2,1
0553588257,4.0,45,28,15,8,4
0689873255,4.5,71,17,9,0,3
0060522879,4.5,69,14,17,0,0
031606792X,3.8,55,12,8,8,17
0316160202,4.4,70,14,7,4,5
0316160199,4.3,64,16,9,5,6
0778324214,3.7,35,29,17,9,10
1847371663,4.7,79,13,4,2,2
0865164215,4.7,79,16,5,0,0
0312422156,4.3,61,20,9,5,5
0439358078,4.5,71,16,7,4,2
0439064864,4.7,80,13,4,1,2
0439785960,4.5,71,15,7,4,3
0439139600,4.8,86,9,3,1,1
043965548X,4.8,85,9,3,1,2
0545010225,4.8,85,9,3,1,2
0759530432,4.4,67,20,6,0,7
0062061879,4.7,84,7,3,2,4
0316017922,4.4,61,24,8,3,4
0547564651,4.4,63,22,9,4,2
0316346624,4.2,53,27,10,5,5
0316010669,3.9,44,26,15,8,7
0156030306,4.6,71,23,4,1,1
0060510862,4.3,57,26,10,4,3
0553283685,4.3,62,20,9,6,3
0553278223,4.3,62,19,10,6,3
0553380958,4.1,53,24,11,7,5
0451207149,4.4,69,15,6,4,6
0739326228,4.4,68,18,7,4,3
0451204891,4.4,52,38,8,2,0
0099448769,4.3,57,26,11,4,2
0679420290,4.3,65,16,9,4,6
0021077010,0.0,0,0,0,0,0
0441784224,4.1,45,22,33,0,0
0020077661,0.0,0,0,0,0,0
0060962526,4.8,82,15,1,1,1
0062502077,0.0,0,0,0,0,0
082640667X,0.0,0,0,0,0,0
1596271329,3.8,42,33,8,0,17
0826408036,4.8,75,25,0,0,0
0310276993,4.0,61,12,7,6,14
0310226058,4.1,62,13,8,7,10
0785263705,4.2,60,19,6,7,8
0142437263,4.0,50,22,13,6,9
0751529818,4.5,75,14,4,3,4
0385729332,4.6,71,22,3,2,2
0345486927,4.6,75,16,6,1,2
1594489424,3.9,52,17,11,9,11
0807067970,4.5,75,10,5,10,0
0449911683,4.5,73,17,6,1,3
0679457313,3.9,50,19,11,9,11
031242440X,4.1,57,17,10,8,8
0060852577,4.1,55,19,10,9,7
0804206120,4.4,67,22,0,11,0
0664255507,4.4,56,39,0,5,0
0800627350,4.1,62,12,12,0,13
0374250022,4.0,50,25,0,25,0
0142000671,4.4,63,23,8,3,3
0452284244,4.4,66,22,7,2,3
0316769177,4.0,56,16,10,8,10
1855739461,0.0,0,0,0,0,0
0345450310,3.8,43,20,21,5,11
067002581X,4.7,81,14,3,1,1
1400031702,4.0,47,24,14,8,7
1594633665,4.0,45,29,14,6,6
1592409318,4.5,79,10,2,4,5
0312577222,4.8,85,11,2,1,1
1427740798,2.7,33,0,0,33,34
1427748004,3.4,43,14,14,0,29
055357342X,4.6,78,14,4,2,2
0061120081,4.7,82,11,3,2,2
0399167064,4.5,64,26,6,2,2
1476746583,4.6,72,18,6,2,2
159420571X,4.1,46,29,14,7,4
0316067598,4.7,82,11,3,2,2
0316204277,4.2,51,31,11,4,3
0553807919,4.6,75,17,5,2,1
193873338X,3.9,36,32,19,8,5
014311364X,3.1,0,42,43,0,15
0393068471,4.4,61,26,9,3,1
0385722435,4.4,61,24,9,4,2
0764225081,4.6,79,12,5,2,2
0330419129,4.2,56,24,9,4,7
1574902121,4.4,62,24,9,3,2
0425200450,4.5,69,20,8,2,1
0449213943,4.6,75,16,5,2,2
1592402860,3.8,42,26,13,10,9
0099481685,3.8,43,25,11,7,14
0486426750,4.6,79,10,6,2,3
044022800X,4.5,64,25,7,2,2
0739461192,4.5,75,13,3,3,6
0785273220,4.7,82,10,3,2,3
1879094533,5.0,100,0,0,0,0
0385340990,4.5,71,19,5,3,2
0762711647,5.0,100,0,0,0,0
0803736665,4.3,29,71,0,0,0
0803732163,4.0,56,22,0,11,11
